"url","duration","intake","programme_outline","entry_requirements","career_prospect__001","career_prospect__002","career_prospect__003","career_prospect__004","career_prospect__005","career_prospect__006","career_prospect__007","career_prospect__008","career_prospect__009","career_prospect__010","career_prospect__011","career_prospect__012","career_prospect__013","career_prospect__014","career_prospect__015","career_prospect__016","career_prospect__017","career_prospect__018"
"","","","Organic Chemistry","","","","","","","","","","","","","","","","","","",""
"","","","Inorganic Chemistry","","","","","","","","","","","","","","","","","","",""
"","","","Analytical Chemistry","","","","","","","","","","","","","","","","","","",""
"","","","Properties of Matter and Chemical Energetics","","","","","","","","","","","","","","","","","","",""
"","","","Chemistry of Elements and Organic Compounds","","","","","","","","","","","","","","","","","","",""
"","","","Kinetics, Mechanisms and Stereo chemistry","","","","","","","","","","","","","","","","","","",""
"","","","Thermodynamics and Electrochemistry","","","","","","","","","","","","","","","","","","",""
"","","","Spectroscopy and Properties of Organic Compounds","","","","","","","","","","","","","","","","","","",""
"","","","Polymer Chemistry","","","","","","","","","","","","","","","","","","",""
"","","","Polymer Characterisation & Thermal Analysis","","","","","","","","","","","","","","","","","","",""
"","","","Materials Science","","","","","","","","","","","","","","","","","","",""
"","","","Chemical Lab Management","","","","","","","","","","","","","","","","","","",""
"","","","Transition Elements and Coordination Compounds","","","","","","","","","","","","","","","","","","",""
"","","","Food Chemistry and Analysis","","","","","","","","","","","","","","","","","","",""
"","","","Instrumental Methods of Chemical Analysis","","","","","","","","","","","","","","","","","","",""
"","","","Environmental Chemistry and Analysis","","","","","","","","","","","","","","","","","","",""
"","","","Analytical Method Development and Validation","","","","","","","","","","","","","","","","","","",""
"","","","Environmental Pollution Control","","","","","","","","","","","","","","","","","","",""
"","","","QA and QC in Good Laboratory Practices","","","","","","","","","","","","","","","","","","",""
"","","","Project","","","","","","","","","","","","","","","","","","",""
"","","","Industrial Training","","","","","","","","","","","","","","","","","","",""
"","","","Calculus and Algebra","","","","","","","","","","","","","","","","","","",""
"","","","Basic Statistical Methods for Scientific Analysis","","","","","","","","","","","","","","","","","","",""
"","","","Elective Courses:","","","","","","","","","","","","","","","","","","",""
"","","","Chemical Safety and Security","","","","","","","","","","","","","","","","","","",""
"","","","Solid State Chemistry","","","","","","","","","","","","","","","","","","",""
"","","","Cosmetic Chemistry","","","","","","","","","","","","","","","","","","",""
"","","","Medicinal Chemistry","","","","","","","","","","","","","","","","","","",""
"","","","Organometallic Chemistry","","","","","","","","","","","","","","","","","","",""
"","","","Occupational Safety & Health","","","","","","","","","","","","","","","","","","",""
"","","","Surface and Colloid Chemistry","","","","","","","","","","","","","","","","","","",""
"","","","Industrial Organic Chemistry","","","","","","","","","","","","","","","","","","",""
"","","","Language, Mata Pelajaran Pengajian Umum (MPU) and Co-curricular Courses:","","","","","","","","","","","","","","","","","","",""
"","","","English for Tertiary Studies, Falsafah dan Isu Semasa, Academic English, Penghayatan Etika dan Peradaban, English for Career Preparation, Entrepreneurship, Bahasa Kebangsaan A, Integrity and Anti-Corruption, Co-curricular","","","","","","","","","","","","","","","","","","",""
"https://fssh.tarc.edu.my/programmes/diploma/diploma-in-event-management","2 Years","Ju","Principles of Economics","","Hotels","Resorts","PR and Event Management Companies and Convention Centres","Event Executives, Convention Sales Executives, Marketing Executives and PR Executives in the Meetings, Incentives, Conventions and Exhibitions (MICE) Industry","","","","","","","","","","","","","",""
"","","","Introduction to Hospitality Industry","","","","","","","","","","","","","","","","","","",""
"","","","Marketing for Hospitality Management","","","","","","","","","","","","","","","","","","",""
"","","","Hospitality Accounting","","","","","","","","","","","","","","","","","","",""
"","","","Introduction to Information Technology","","","","","","","","","","","","","","","","","","",""
"","","","Introduction to Event Industry","","","","","","","","","","","","","","","","","","",""
"","","","Principles of Events Planning & Management","","","","","","","","","","","","","","","","","","",""
"","","","Basic Management Principles","","","","","","","","","","","","","","","","","","",""
"","","","Visual Software for Events","","","","","","","","","","","","","","","","","","",""
"","","","Catering & Employment Law","","","","","","","","","","","","","","","","","","",""
"","","","Catering Management","","","","","","","","","","","","","","","","","","",""
"","","","Convention Sales & Services Operations","","","","","","","","","","","","","","","","","","",""
"","","","Project Proposal and Preparation","","","","","","","","","","","","","","","","","","",""
"","","","Event & Destination Management","","","","","","","","","","","","","","","","","","",""
"","","","Event Coordination & Implementation","","","","","","","","","","","","","","","","","","",""
"","","","Service Marketing & Management","","","","","","","","","","","","","","","","","","",""
"","","","Industrial Attachment","","","","","","","","","","","","","","","","","","",""
"","","","Food and Beverage for Event Management","","","","","","","","","","","","","","","","","","",""
"","","","Language, Mata Pelajaran Pengajian Umum (MPU) and Co-curricular Courses:","","","","","","","","","","","","","","","","","","",""
"","","","English for Tertiary Studies, Bahasa Kebangsaan A, Civic Consciousness and Volunteerism, Academic English, Penghayatan Etika dan Peradaban,","","","","","","","","","","","","","","","","","","",""
"","","","Integrity and Anti-Corruption","","","","","","","","","","","","","","","","","","",""
"","","",", Professional English, Japanese Language I Or French Language I, Japanese Language II Or French Language II, Co-curricular courses.","","","","","","","","","","","","","","","","","","",""
"https://fafb.tarc.edu.my/programmes/bachelors-degree/business-analytics","3 years","Janua","IT Fundamentals and Applications","","Graduates of","Bachelor in Business Analytics (Honours)","can seek employment in the following areas:","Data Analyst","Project Manager","Data Operation Analyst","Data Review Analyst","Business Analyst","Big Data Analyst","Marketing Manager/Executive","Market Tester/Analyst","Sales/ Project Executive","Data Assurance Associate","CRM Executive","","","",""
"","","","Business Communication","","","","","","","","","","","","","","","","","","",""
"","","","Quantitative Methods","","","","","","","","","","","","","","","","","","",""
"","","","Principles of Accounting","","","","","","","","","","","","","","","","","","",""
"","","","Economics","","","","","","","","","","","","","","","","","","",""
"","","","Principles of Management","","","","","","","","","","","","","","","","","","",""
"","","","Principles of Marketing","","","","","","","","","","","","","","","","","","",""
"","","","Database Management","","","","","","","","","","","","","","","","","","",""
"","","","Principles of Finance","","","","","","","","","","","","","","","","","","",""
"","","","Problem Solving and Programming","","","","","","","","","","","","","","","","","","",""
"","","","Discrete Mathematics","","","","","","","","","","","","","","","","","","",""
"","","","Business Ethics","","","","","","","","","","","","","","","","","","",""
"","","","Business Analysis & Planning","","","","","","","","","","","","","","","","","","",""
"","","","Data Science","","","","","","","","","","","","","","","","","","",""
"","","","Human Resource Management","","","","","","","","","","","","","","","","","","",""
"","","","Operation Management","","","","","","","","","","","","","","","","","","",""
"","","","Statistics for Data Science","","","","","","","","","","","","","","","","","","",""
"","","","Data Warehouse Technology","","","","","","","","","","","","","","","","","","",""
"","","","Organisation Behaviour","","","","","","","","","","","","","","","","","","",""
"","","","Data Insight and Visualisation","","","","","","","","","","","","","","","","","","",""
"","","","Business Intelligence","","","","","","","","","","","","","","","","","","",""
"","","","Big Data Analytics","","","","","","","","","","","","","","","","","","",""
"","","","Business Research","","","","","","","","","","","","","","","","","","",""
"","","","Industrial Training","","","","","","","","","","","","","","","","","","",""
"","","","AI and Digital Marketing","","","","","","","","","","","","","","","","","","",""
"","","","Entrepreneurship","","","","","","","","","","","","","","","","","","",""
"","","","Business Metrics & Analytics","","","","","","","","","","","","","","","","","","",""
"","","","Business Analytics Project Paper","","","","","","","","","","","","","","","","","","",""
"","","","Strategic Planning and Management","","","","","","","","","","","","","","","","","","",""
"","","","Electives","","","","","","","","","","","","","","","","","","",""
"","","","Compulsory Courses:","","","","","","","","","","","","","","","","","","",""
"","","","English for Tertiary Studies, Academic English,  English for Career Preparation, Falsafah dan Isu Semasa, Penghayatan Etika dan Peradaban, Integrity & Anti-Corruption, Service Learning/Bahasa Kebangsaan A and Co-curricular.","","","","","","","","","","","","","","","","","","",""
"https://fcci.tarc.edu.my/programmes/diploma/diploma-in-journalism","2 Years","June & November","Introduction to Information Technology","","Journalists","Writers","Reporters","Copy Editors","Editors","Communications Executive","","","","","","","","","","","",""
"","","","Introduction to Mass Communication","","","","","","","","","","","","","","","","","","",""
"","","","Introduction to Human Communication","","","","","","","","","","","","","","","","","","",""
"","","","Chinese Writing for the Mass Media OR Introduction to Drama","","","","","","","","","","","","","","","","","","",""
"","","","Introduction to Journalism","","","","","","","","","","","","","","","","","","",""
"","","","Mass Media and Society","","","","","","","","","","","","","","","","","","",""
"","","","Writing for the Electronic Media","","","","","","","","","","","","","","","","","","",""
"","","","Fundamentals of Web Design","","","","","","","","","","","","","","","","","","",""
"","","","Translation for Media","","","","","","","","","","","","","","","","","","",""
"","","","Malaysia: Cultural & Religious Practices","","","","","","","","","","","","","","","","","","",""
"","","","Basic Audio and Video Production","","","","","","","","","","","","","","","","","","",""
"","","","Digital Storytelling","","","","","","","","","","","","","","","","","","",""
"","","","Media Ethics","","","","","","","","","","","","","","","","","","",""
"","","","Photojournalism","","","","","","","","","","","","","","","","","","",""
"","","","Chinese Creative Writing OR Creative Writing","","","","","","","","","","","","","","","","","","",""
"","","","Malaysian Constitutional Framework and Policies","","","","","","","","","","","","","","","","","","",""
"","","","Communication Law","","","","","","","","","","","","","","","","","","",""
"","","","Copy Editing","","","","","","","","","","","","","","","","","","",""
"","","","Production & Publication","","","","","","","","","","","","","","","","","","",""
"","","","Media in Malaysia","","","","","","","","","","","","","","","","","","",""
"","","","Industrial Attachment","","","","","","","","","","","","","","","","","","",""
"","","","Podcasting","","","","","","","","","","","","","","","","","","",""
"","","","Language, Mata Pelajaran Pengajian Umum (MPU) and Co-curricular Courses:","","","","","","","","","","","","","","","","","","",""
"","","","Integrative English,","","","","","","","","","","","","","","","","","","",""
"","","","Penghayatan Etika dan Peradaban, Progressive English, Integrity and Anti Corruption, Civic Consciousness and Volunteerism OR Bahasa Kebangsaan A","","","","","","","","","","","","","","","","","","",""
"","","","is compulsory for students without Credit in Bahasa Malaysia at SPM level","","","","","","","","","","","","","","","","","","",""
"","","","Co-curricular","","","","","","","","","","","","","","","","","","",""
"https://foet.tarc.edu.my/programmes/foundation","","","","","","","","","","","","","","","","","","","","","",""
"https://focs.tarc.edu.my/programmes/foundation","","","","","","","","","","","","","","","","","","","","","",""
"https://fssh.tarc.edu.my/programmes/diploma/diploma-in-counselling","2 Years","January,","Introduction to Information Technology","","Para-counsellor","Guided Social Work","Management (eg. Human Resources, General Administration, Personal Assistant)","Sales, Marketing & Services (eg. Customer Service)","Work Related to Psychology at Hospitals, Mental Health Organisations, Business Organisations or Non-Governmental Organisations","","","","","","","","","","","","",""
"","","","Introduction to Psychology","","","","","","","","","","","","","","","","","","",""
"","","","Introduction to Social Psychology","","","","","","","","","","","","","","","","","","",""
"","","","Theories of Counselling & Psychotherapy","","","","","","","","","","","","","","","","","","",""
"","","","Introduction to Guidance and Counselling","","","","","","","","","","","","","","","","","","",""
"","","","Developmental Psychology","","","","","","","","","","","","","","","","","","",""
"","","","Malaysia: Cultural and Religious Practices","","","","","","","","","","","","","","","","","","",""
"","","","Interpersonal Communication Skills","","","","","","","","","","","","","","","","","","",""
"","","","Leadership Skills","","","","","","","","","","","","","","","","","","",""
"","","","Introduction to Career Guidance","","","","","","","","","","","","","","","","","","",""
"","","","Motivation in Counselling","","","","","","","","","","","","","","","","","","",""
"","","","Basic Assessment in Counselling","","","","","","","","","","","","","","","","","","",""
"","","","Basic Counselling Skills and Techniques","","","","","","","","","","","","","","","","","","",""
"","","","Industrial and Organisational Psychology","","","","","","","","","","","","","","","","","","",""
"","","","Introduction to Family Systems Theory","","","","","","","","","","","","","","","","","","",""
"","","","Organisation of Guidance and Counselling Programme","","","","","","","","","","","","","","","","","","",""
"","","","Group Guidance and Counselling","","","","","","","","","","","","","","","","","","",""
"","","","Issues and Ethics in the Helping Profession","","","","","","","","","","","","","","","","","","",""
"","","","Deviant, Delinquent and Discipline","","","","","","","","","","","","","","","","","","",""
"","","","Language, Mata Pelajaran Pengajian Umum (MPU) and Co-curricular Courses:","","","","","","","","","","","","","","","","","","",""
"","","","English for Tertiary Studies, Academic English, Professional English, Penghayatan Etika dan Peradaban,","","","","","","","","","","","","","","","","","","",""
"","","","Integrity and Anti-Corruption","","","","","","","","","","","","","","","","","","",""
"","","",", Civic Consciousness and Volunteerism, Bahasa Kebangsaan A, Co-curricular Course","","","","","","","","","","","","","","","","","","",""
"https://fafb.tarc.edu.my/programmes/bachelors-degree/business-administration","3 years","Duration:","IT Fundamentals and Applications","","Graduates can secure employment in a wide variety of management and administrative positions both in the private and puclic sectors in the following areas:","Business Administration","Business Operation","Human Resource Management","Sales & Marketing & etc","","","","","","","","","","","","",""
"","","","Business Communication","","","","","","","","","","","","","","","","","","",""
"","","","Quantitative Methods","","","","","","","","","","","","","","","","","","",""
"","","","Economics","","","","","","","","","","","","","","","","","","",""
"","","","Principles of Accounting","","","","","","","","","","","","","","","","","","",""
"","","","Principles of Finance","","","","","","","","","","","","","","","","","","",""
"","","","Principles of Management","","","","","","","","","","","","","","","","","","",""
"","","","Organisational Behaviour","","","","","","","","","","","","","","","","","","",""
"","","","Cost and Management Accounting","","","","","","","","","","","","","","","","","","",""
"","","","Commercial Law","","","","","","","","","","","","","","","","","","",""
"","","","Knowledge and Innovation Management","","","","","","","","","","","","","","","","","","",""
"","","","Operation Management","","","","","","","","","","","","","","","","","","",""
"","","","Principles of Marketing","","","","","","","","","","","","","","","","","","",""
"","","","Corporate Law","","","","","","","","","","","","","","","","","","",""
"","","","Human Resource Management","","","","","","","","","","","","","","","","","","",""
"","","","Industrial Training","","","","","","","","","","","","","","","","","","",""
"","","","Corporate Finance","","","","","","","","","","","","","","","","","","",""
"","","","Strategic Planning and Management","","","","","","","","","","","","","","","","","","",""
"","","","Business Research","","","","","","","","","","","","","","","","","","",""
"","","","Management Information Systems","","","","","","","","","","","","","","","","","","",""
"","","","Case Study","","","","","","","","","","","","","","","","","","",""
"","","","International Business Management","","","","","","","","","","","","","","","","","","",""
"","","","Organisational Development & Change","","","","","","","","","","","","","","","","","","",""
"","","","Risk Management","","","","","","","","","","","","","","","","","","",""
"","","","Entrepreneurship","","","","","","","","","","","","","","","","","","",""
"","","","Business Intelligence","","","","","","","","","","","","","","","","","","",""
"","","","Ethical Practice and Governance","","","","","","","","","","","","","","","","","","",""
"","","","Enterprise Resource Planning","","","","","","","","","","","","","","","","","","",""
"","","","Sustainable Development and ESG Reporting","","","","","","","","","","","","","","","","","","",""
"","","","Electives","","","","","","","","","","","","","","","","","","",""
"","","","Compulsory Courses:","","","","","","","","","","","","","","","","","","",""
"","","","English for Tertiary Studies, Academic English,  English for Career Preparation, Falsafah dan Isu Semasa, Penghayatan Etika dan Peradaban, Integrity & Anti-Corruption, Service Learning/Bahasa Kebangsaan A and Co-curricular.","","","","","","","","","","","","","","","","","","",""
"https://fcci.tarc.edu.my/programmes/diploma/diploma-in-broadcast-communication","2 Years","June","Introduction to Information Technology","","TV and radio programming","Disc Jockeys (Radio Announcer)","Research writing for broadcast media","Digital content creation","Production houses","Film industry Creative agencies and industries","","","","","","","","","","","",""
"","","","Introduction to Mass Communication","","","","","","","","","","","","","","","","","","",""
"","","","Broadcast Writing (Radio)","","","","","","","","","","","","","","","","","","",""
"","","","Mass Media and Society","","","","","","","","","","","","","","","","","","",""
"","","","Malaysia: Cultural & Religious Practices","","","","","","","","","","","","","","","","","","",""
"","","","Chinese Modern Writing","","","","","","","","","","","","","","","","","","",""
"","","","is only for students who have a minimum SPM pass in the Chinese Language (Bahasa Cina)","","","","","","","","","","","","","","","","","","",""
"","","","OR Music Appreciation","","","","","","","","","","","","","","","","","","",""
"","","","Basic Digital Photography","","","","","","","","","","","","","","","","","","",""
"","","","Film and Society","","","","","","","","","","","","","","","","","","",""
"","","","The Modern Electronic Media","","","","","","","","","","","","","","","","","","",""
"","","","Chinese Writing for the Mass Media","","","","","","","","","","","","","","","","","","",""
"","","","is only for students who have a minimum SPM pass in the Chinese Language (Bahasa Cina)","","","","","","","","","","","","","","","","","","",""
"","","","OR Introduction to Drama","","","","","","","","","","","","","","","","","","",""
"","","","Radio and DJ","","","","","","","","","","","","","","","","","","",""
"","","","Applied Photography","","","","","","","","","","","","","","","","","","",""
"","","","Broadcast Writing (Television)","","","","","","","","","","","","","","","","","","",""
"","","","Globalisation & Communication","","","","","","","","","","","","","","","","","","",""
"","","","Translation : BM, English & Chinese","","","","","","","","","","","","","","","","","","",""
"","","","is only for students who have a minimum SPM pass in the Chinese Language (Bahasa Cina)","","","","","","","","","","","","","","","","","","",""
"","","","OR Translation : BM & English","","","","","","","","","","","","","","","","","","",""
"","","","Industrial Attachment","","","","","","","","","","","","","","","","","","",""
"","","","Communication Law","","","","","","","","","","","","","","","","","","",""
"","","","Malaysia & International Relation","","","","","","","","","","","","","","","","","","",""
"","","","Media Ethics","","","","","","","","","","","","","","","","","","",""
"","","","Advertising for the Electronic Media","","","","","","","","","","","","","","","","","","",""
"","","","Videography","","","","","","","","","","","","","","","","","","",""
"","","","Language, Mata Pelajaran Pengajian Umum (MPU) and Co-curricular Courses:","","","","","","","","","","","","","","","","","","",""
"","","","English for Tertiary Studies, Penghayatan Etika dan Peradaban, Integrity and Anti Corruption, Academic English, Civic Consciousness and Volunteerism","","","","","","","","","","","","","","","","","","",""
"","","","OR","","","","","","","","","","","","","","","","","","",""
"","","","Bahasa Kebangsaan A","","","","","","","","","","","","","","","","","","",""
"","","","is compulsory for students without Credit in Bahasa Malaysia at SPM level.","","","","","","","","","","","","","","","","","","",""
"","","",", Professional English,","","","","","","","","","","","","","","","","","","",""
"","","","Co-curricular","","","","","","","","","","","","","","","","","","",""
"https://fssh.tarc.edu.my/programmes/diploma/diploma-in-culinary-arts","2 years 4 months","PK - Ju","Introduction to Hospitality Industry","","Kitchen Chefs","Kitchen Executives","Food and Beverage Entrepreneur","Food and Beverage Executives","Catering Managers","","","","","","","","","","","","",""
"","","","Marketing for Hospitality Management","","","","","","","","","","","","","","","","","","",""
"","","","Introduction to Information Technology","","","","","","","","","","","","","","","","","","",""
"","","","Food Commodities","","","","","","","","","","","","","","","","","","",""
"","","","Fundamental Cooking and Larder","","","","","","","","","","","","","","","","","","",""
"","","","Food and Beverage Service","","","","","","","","","","","","","","","","","","",""
"","","","Food Management","","","","","","","","","","","","","","","","","","",""
"","","","Hospitality Accounting","","","","","","","","","","","","","","","","","","",""
"","","","Western Cuisine","","","","","","","","","","","","","","","","","","",""
"","","","Nutrition","","","","","","","","","","","","","","","","","","",""
"","","","Catering & Employment Law","","","","","","","","","","","","","","","","","","",""
"","","","Asian Cuisine","","","","","","","","","","","","","","","","","","",""
"","","","Butchery","","","","","","","","","","","","","","","","","","",""
"","","","Catering System and Operation","","","","","","","","","","","","","","","","","","",""
"","","","Garde Manger","","","","","","","","","","","","","","","","","","",""
"","","","Patisserie","","","","","","","","","","","","","","","","","","",""
"","","","Industrial Attachment","","","","","","","","","","","","","","","","","","",""
"","","","Food and Beverage Control","","","","","","","","","","","","","","","","","","",""
"","","","Food Artistry","","","","","","","","","","","","","","","","","","",""
"","","","Legal Aspect in Hospitality","","","","","","","","","","","","","","","","","","",""
"","","","Restaurant Business Operation","","","","","","","","","","","","","","","","","","",""
"","","","Language, Mata Pelajaran Pengajian Umum (MPU) and Co-curricular Courses:","","","","","","","","","","","","","","","","","","",""
"","","","English for Tertiary Studies, Bahasa Kebangsaan A, Civic Consciousness and Volunteerism, Academic English, Penghayatan Etika dan Peradaban, Integrity and Anti-Corruption, Professional English, Japanese Language I Or French Language I, Japanese Language II Or French Language II, Co-curricular courses.","","","","","","","","","","","","","","","","","","",""
"https://fafb.tarc.edu.my/programmes/bachelors-degree/banking-and-finance","3 years","June and November","IT Fundamentals and Applications","","Graduates can secure employment in banks and financial institutions in the following areas:","Credit Processing","Mortgage Sales","Treasury Service","Customer Relations & etc","","","","","","","","","","","","",""
"","","","Economics","","","","","","","","","","","","","","","","","","",""
"","","","Principles of Accounting","","","","","","","","","","","","","","","","","","",""
"","","","Principles of Marketing","","","","","","","","","","","","","","","","","","",""
"","","","Financial Mathematics","","","","","","","","","","","","","","","","","","",""
"","","","Business Organisation & Management","","","","","","","","","","","","","","","","","","",""
"","","","Principles of Investment","","","","","","","","","","","","","","","","","","",""
"","","","Financial Accounting","","","","","","","","","","","","","","","","","","",""
"","","","Banking Operations","","","","","","","","","","","","","","","","","","",""
"","","","International Trade Finance","","","","","","","","","","","","","","","","","","",""
"","","","Law Relating to Financial Services","","","","","","","","","","","","","","","","","","",""
"","","","Personal Financial Planning","","","","","","","","","","","","","","","","","","",""
"","","","Principles of Finance","","","","","","","","","","","","","","","","","","",""
"","","","Bank Credit Management","","","","","","","","","","","","","","","","","","",""
"","","","Entrepreneurship","","","","","","","","","","","","","","","","","","",""
"","","","Commercial Bank Management","","","","","","","","","","","","","","","","","","",""
"","","","Corporate Banking-Practice & Law","","","","","","","","","","","","","","","","","","",""
"","","","Banking Securities","","","","","","","","","","","","","","","","","","",""
"","","","Bank Treasury Management","","","","","","","","","","","","","","","","","","",""
"","","","Risk Management","","","","","","","","","","","","","","","","","","",""
"","","","Strategic Issues in Finance and Financial Services","","","","","","","","","","","","","","","","","","",""
"","","","International Banking","","","","","","","","","","","","","","","","","","",""
"","","","Islamic Banking","","","","","","","","","","","","","","","","","","",""
"","","","Portfolio Management","","","","","","","","","","","","","","","","","","",""
"","","","Industrial Training","","","","","","","","","","","","","","","","","","",""
"","","","Corporate Finance","","","","","","","","","","","","","","","","","","",""
"","","","Marketing for Financial Services","","","","","","","","","","","","","","","","","","",""
"","","","Artificial Intelligence and Fintech in Financial Services","","","","","","","","","","","","","","","","","","",""
"","","","Electives","","","","","","","","","","","","","","","","","","",""
"","","","Compulsory Courses:","","","","","","","","","","","","","","","","","","",""
"","","","English for Tertiary Studies, Academic English,  English for Career Preparation, Falsafah dan Isu Semasa, Penghayatan Etika dan Peradaban, Integrity & Anti-Corruption, Service Learning/Bahasa Kebangsaan A and Co-curricular.","","","","","","","","","","","","","","","","","","",""
"https://fcci.tarc.edu.my/programmes/diploma/diploma-in-advertising",":","June & November","Introduction to Information Technology","","Advertising Account Executives","Media Planners","Copywriters","Advertising & Promotion Personnel","Social Media Executives","Digital Marketing Executives","Creative Director","Talent Executives","Multimedia Content Creator","Market & Consumer Analyst","","","","","","","",""
"","","","Introduction to Mass Communication","","","","","","","","","","","","","","","","","","",""
"","","","Design Fundamentals","","","","","","","","","","","","","","","","","","",""
"","","","Introduction to Advertising","","","","","","","","","","","","","","","","","","",""
"","","","Integrity and Anti Corruption","","","","","","","","","","","","","","","","","","",""
"","","","Design for Print","","","","","","","","","","","","","","","","","","",""
"","","","Malaysia: Cultural & Religious Practices","","","","","","","","","","","","","","","","","","",""
"","","","Introduction to Electronic Publishing","","","","","","","","","","","","","","","","","","",""
"","","","Mass Media and Society","","","","","","","","","","","","","","","","","","",""
"","","","Consumer Behaviour","","","","","","","","","","","","","","","","","","",""
"","","","Basic Photography","","","","","","","","","","","","","","","","","","",""
"","","","Chinese Writing for The Mass Media OR","","","","","","","","","","","","","","","","","","",""
"","","","Music Appreciation","","","","","","","","","","","","","","","","","","",""
"","","","Advertising Copywriting","","","","","","","","","","","","","","","","","","",""
"","","","Multimedia for Advertising","","","","","","","","","","","","","","","","","","",""
"","","","Effects of Advertising","","","","","","","","","","","","","","","","","","",""
"","","","Media Planning","","","","","","","","","","","","","","","","","","",""
"","","","Communication Law","","","","","","","","","","","","","","","","","","",""
"","","","Industrial Attachment","","","","","","","","","","","","","","","","","","",""
"","","","Advertising Creative Campaign","","","","","","","","","","","","","","","","","","",""
"","","","Measurement of Advertising Effectiveness","","","","","","","","","","","","","","","","","","",""
"","","","Translation: BM,English & Chinese OR Translation: BM & English","","","","","","","","","","","","","","","","","","",""
"","","","Marketing","","","","","","","","","","","","","","","","","","",""
"","","","Language, Mata Pelajaran Pengajian Umum (MPU) and Co-curricular Courses:","","","","","","","","","","","","","","","","","","",""
"","","","English for Tertiary Studies, Penghayatan Etika dan Peradaban, Integrity and Anti Corruption, Academic English, Civic Consciousness and Volunteerism","","","","","","","","","","","","","","","","","","",""
"","","","OR","","","","","","","","","","","","","","","","","","",""
"","","","Bahasa Kebangsaan A","","","","","","","","","","","","","","","","","","",""
"","","","is compulsory for students without Credit in Bahasa Malaysia at SPM level.","","","","","","","","","","","","","","","","","","",""
"","","",", Professional English,","","","","","","","","","","","","","","","","","","",""
"","","","Co-curricular","","","","","","","","","","","","","","","","","","",""
"https://fssh.tarc.edu.my/programmes/diploma/diploma-in-hotel-management","2 Years",":","Economics for Hospitality Industry","","Chain Hotels","Thematic Resorts and Spa","Cruise","Recreational Fields","uch","s Theme Parks, Amusement Parks, Entertainment","ield and","vent","rganisations","ocated","ocally","ell","nternationally","","","","",""
"","","","Introduction to Hospitality Industry","","","","","","","","","","","","","","","","","","",""
"","","","Marketing for Hospitality Management","","","","","","","","","","","","","","","","","","",""
"","","","Introduction to Information Technology","","","","","","","","","","","","","","","","","","",""
"","","","Food and Beverage Management","","","","","","","","","","","","","","","","","","",""
"","","","Food Preparation I (Practicum)","","","","","","","","","","","","","","","","","","",""
"","","","Hospitality Accounting","","","","","","","","","","","","","","","","","","",""
"","","","Food and Beverage Cost Control","","","","","","","","","","","","","","","","","","",""
"","","","Food Preparation II (Practicum)","","","","","","","","","","","","","","","","","","",""
"","","","Restaurant Management","","","","","","","","","","","","","","","","","","",""
"","","","Housekeeping Management","","","","","","","","","","","","","","","","","","",""
"","","","Front Office Management","","","","","","","","","","","","","","","","","","",""
"","","","Principles of Management & Human Resource","","","","","","","","","","","","","","","","","","",""
"","","","Hospitality Law","","","","","","","","","","","","","","","","","","",""
"","","","Baking and Pastry","","","","","","","","","","","","","","","","","","",""
"","","","Industrial Attachment","","","","","","","","","","","","","","","","","","",""
"","","","Kitchen Management & Sanitation","","","","","","","","","","","","","","","","","","",""
"","","","Language, Mata Pelajaran Pengajian Umum (MPU) and Co-curricular Courses:","","","","","","","","","","","","","","","","","","",""
"","","","English for Tertiary Studies, Bahasa Kebangsaan A, Civic Consciousness and Volunteerism, Academic English, Penghayatan Etika dan Peradaban, Integrity","","","","","","","","","","","","","","","","","","",""
"","","","and","","","","","","","","","","","","","","","","","","",""
"","","","Anti-Corruption, Professional English, Japanese Language I Or French Language I Or Korean Language I, Japanese Language II Or French Language II Or Korean Language II, Co-curricular courses.","","","","","","","","","","","","","","","","","","",""
"https://fafb.tarc.edu.my/programmes/bachelors-degree/applied-business-analytics","","June and","IT Fundamentals and Applications","","Graduates of","Bachelor in Applied Business Analytics (Honours)","can seek gainful employment in the following areas:","Business Intelligence Analyst","Big Data Analyst","Buyer/Supply Chain Analyst","Financial/Customer Insights/Operations Analyst","Sales/Relationship Managers","Research and Development Executive","Consultant/Internal Auditor","","","","","","","",""
"","","","Quantitative Methods","","","","","","","","","","","","","","","","","","",""
"","","","Economics","","","","","","","","","","","","","","","","","","",""
"","","","Business Communication","","","","","","","","","","","","","","","","","","",""
"","","","Organisational Behaviour","","","","","","","","","","","","","","","","","","",""
"","","","Principles of Marketing","","","","","","","","","","","","","","","","","","",""
"","","","Principles of Accounting","","","","","","","","","","","","","","","","","","",""
"","","","Principles of Finance","","","","","","","","","","","","","","","","","","",""
"","","","Artificial Intelligence for Business","","","","","","","","","","","","","","","","","","",""
"","","","Advanced Spreadsheet","","","","","","","","","","","","","","","","","","",""
"","","","Business Ethics","","","","","","","","","","","","","","","","","","",""
"","","","Operations Management","","","","","","","","","","","","","","","","","","",""
"","","","Programming for Business Analytics","","","","","","","","","","","","","","","","","","",""
"","","","Global Business","","","","","","","","","","","","","","","","","","",""
"","","","Business Intelligence","","","","","","","","","","","","","","","","","","",""
"","","","Cross Cultural Management","","","","","","","","","","","","","","","","","","",""
"","","","Business Research","","","","","","","","","","","","","","","","","","",""
"","","","Data Insights and Visualisation","","","","","","","","","","","","","","","","","","",""
"","","","Human Resource Analytics","","","","","","","","","","","","","","","","","","",""
