url,programme_outline
https://fssh.tarc.edu.my/programmes/bachelor-degree/bachelor-of-arts-in-english-studies-honours,Language and Intercultural Communication
https://fssh.tarc.edu.my/programmes/bachelor-degree/bachelor-of-arts-in-english-studies-honours,World Literature
https://fssh.tarc.edu.my/programmes/bachelor-degree/bachelor-of-arts-in-english-studies-honours,Technology Enhanced Language Learning
https://fssh.tarc.edu.my/programmes/bachelor-degree/bachelor-of-arts-in-english-studies-honours,Project I
https://fssh.tarc.edu.my/programmes/bachelor-degree/bachelor-of-arts-in-english-studies-honours,Project II
https://fssh.tarc.edu.my/programmes/bachelor-degree/bachelor-of-arts-in-english-studies-honours,English for Specific Purposes
https://fssh.tarc.edu.my/programmes/bachelor-degree/bachelor-of-arts-in-english-studies-honours,Study Skills or Public Speaking and Presentation Skills
https://fssh.tarc.edu.my/programmes/bachelor-degree/bachelor-of-arts-in-english-studies-honours,Introduction to Audio-Visual Production OR Seminar on English Language Usage OR Renaissance Drama OR 20th Century American Literature
https://fssh.tarc.edu.my/programmes/bachelor-degree/bachelor-of-arts-in-english-studies-honours,Corporate Writing OR Creative Industries Management
https://fssh.tarc.edu.my/programmes/bachelor-degree/bachelor-of-arts-in-english-studies-honours,Japanese Language I OR French Language I OR Korean Language I
https://fssh.tarc.edu.my/programmes/bachelor-degree/bachelor-of-arts-in-english-studies-honours,Japanese Language II OR French Language II OR Korean Language II
https://fssh.tarc.edu.my/programmes/bachelor-degree/bachelor-of-arts-in-english-studies-honours,Industrial Training/Teaching Practicum
https://fssh.tarc.edu.my/programmes/bachelor-degree/bachelor-of-arts-in-english-studies-honours,"Language, Mata Pelajaran Pengajian Umum (MPU) and Co-curricular Courses:"
https://fssh.tarc.edu.my/programmes/bachelor-degree/bachelor-of-arts-in-english-studies-honours,"Falsafah dan Isu Semasa,"
